// Reference=MNI
// Koelsch S, 2002: Modulation vs. In-Key
// Subjects=10
-52.35	10.79	1.2
-33.09	23.23	8.86
-52.36	2.96	-3.71
-45.76	-19.23	11.45
-48.87	-30.37	19.11
-58.35	-42.09	33.59
-6.26	-12.74	9.34
50.25	15.89	2.94
47.2	18.65	25.05
32.05	26.45	3.38
53.45	3.77	-2.77
50.44	-16.2	14.55
56.87	-30.25	11.2
54.88	-42.98	25.67
60.14	-44.86	14.62
4.45	-12.5	11.43

// Leveroni C L, 2000: Famous Faces > Newly-learned Faces
// Leveroni C L, 2000: Famous Faces > Foils
// Subjects=11
-14.72	39.74	41.84
11.78	53.07	19.23
14.11	47.4	41.98
-5.56	52.6	-12.88
53.55	1.54	9.69
-37.04	21.08	50.35
35.09	34.61	-15.18
12.69	22.84	-13.94
10.45	37.12	-21.8
-5.6	41.17	-23.07
-53.48	-11.9	-16.95
56.52	-6.39	-24.26
-51.06	-42.96	7.93
-47.63	-69.15	26.81
59.11	-52.19	16.36
35.32	-48.64	-18.24
47.36	-65.46	10.91
40.7	5.52	7.27
33	-15.41	-28.8
26.84	-44.75	-8.43
-19.34	-13.36	-25.03
-2.85	-57.84	17.54
48.4	-28.39	22.29
3.68	-56.61	32.98
-19.78	-91.36	26.12
12.72	-47.14	-38.18
-9.71	-47.19	-36.8
24.57	-6.61	-10.49
-15.75	34.61	44.51
11.88	56.3	33.45
-1.22	53.31	-4.06
56.53	-5.16	-22.13
-54.53	-16.05	-15.48
-51.92	-63.88	26.42
-54.29	-44.29	4.73
48.35	-26.7	16.57
41.41	9.59	-36.57
63.4	-49.87	18.35
26.63	-12.82	-22.26
-.61	-52.4	32.67
9.86	-45.76	7.46

// Rosen A C, 1999: Endogenous > Rest
// Rosen A C, 1999: Exogenous > Rest
// Rosen A C, 1999: Control > Rest
// Subjects=13
-40.09	-15.78	55.71
48.45	5.13	42.9
-3.83	6.73	54.52
5.8	9.16	57.55
-49.9	-70.53	9.11
56.95	-52.46	13.06
34.76	-44.48	49.45
40.59	42.87	8.6
-36.31	-59.35	-26.55
27.8	-49.11	-23.69
-22.32	-5.52	7.8
24.65	0.85	3.38
-12.74	-73.93	-24.49
6.57	-71.99	-14.83
-39.01	-13.48	57.73
49.5	4.97	40.67
